N,agent,mode,tau,K,w_hat_mean,wall_ms_mean,offers_seen_mean,solver_calls_mean,seeds,w_hat_lo,w_hat_hi
50,satisficer,band,1,,0.3675060013888889,0.07314727777777778,803.259375,0.0,5,0.3496582465277778,0.38140861944444443
50,satisficer,band,5,,0.3686860736111111,0.06468830555555556,709.559125,0.0,5,0.35109182595486116,0.3818690826388889
50,satisficer,band,10,,0.3668147048611111,0.04689759722222222,505.62911111111106,0.0,5,0.3497807541145833,0.37962804385416665
50,satisficer,band,20,,0.35517814722222224,0.018926736111111113,182.3010277777778,0.0,5,0.33889593729166667,0.3676093902777778
100,satisficer,band,1,,0.37051626249999997,0.1500418888888889,1655.9169652777778,0.0,5,0.3561518956597222,0.3828422444444444
100,satisficer,band,5,,0.3710490375,0.12953516666666667,1418.5975902777777,0.0,5,0.3562492249826389,0.38378841736111113
100,satisficer,band,10,,0.3693398381944445,0.0927291736111111,996.6216458333332,0.0,5,0.35504169328124996,0.38184075
100,satisficer,band,20,,0.3577962729166667,0.03679903472222222,348.9665069444444,0.0,5,0.34460961868055556,0.3694002159722222
200,satisficer,band,1,,0.3850766409722222,0.2985948263888889,3285.015354166667,0.0,5,0.37533842222222213,0.39300805022569446
200,satisficer,band,5,,0.38466368472222223,0.2521253784722222,2748.1054444444444,0.0,5,0.3755650930555556,0.3925082868055555
200,satisficer,band,10,,0.3829123423611111,0.17889182638888887,1914.389434027778,0.0,5,0.37442646875,0.3901330479166667
200,satisficer,band,20,,0.37213135555555554,0.07021273611111112,673.3147465277777,0.0,5,0.3636872173611111,0.3784271881944445
500,satisficer,band,1,,0.3960117951388889,0.9156578180555556,8328.236347222222,0.0,5,0.38426168055555554,0.40430734791666667
500,satisficer,band,5,,0.3957079215277778,0.7689575138888889,6929.294404166666,0.0,5,0.3841091284722222,0.40391482986111116
500,satisficer,band,10,,0.3940783666666666,0.5397091569444445,4829.686819444444,0.0,5,0.3820625888888889,0.4024763520833333
500,satisficer,band,20,,0.38480988194444443,0.2034876777777778,1700.4652958333331,0.0,5,0.37308862986111113,0.3933306368055556
