N,agent,mode,tau,K,w_hat_mean,wall_ms_mean,offers_seen_mean,solver_calls_mean,seeds,w_hat_lo,w_hat_hi
50,satisficer,k_search,,1,0.14975945555555556,0.003372541666666667,0.29531944444444447,0.0,5,0.1385055034722222,0.1604814125
50,satisficer,k_search,,3,0.14975945555555556,0.0035930833333333327,0.8836527777777778,0.0,5,0.1385055034722222,0.1604814125
50,satisficer,k_search,,5,0.14975945555555556,0.0037053472222222223,1.4667916666666667,0.0,5,0.1385055034722222,0.1604814125
100,satisficer,k_search,,1,0.17018742916666668,0.006567881944444446,0.2944097222222222,0.0,5,0.15962490555555556,0.18121045069444444
100,satisficer,k_search,,3,0.17018742916666668,0.006567763888888889,0.8812291666666667,0.0,5,0.15962490555555556,0.18121045069444444
100,satisficer,k_search,,5,0.17018742916666668,0.0065162499999999995,1.4655208333333334,0.0,5,0.15962490555555556,0.18121045069444444
200,satisficer,k_search,,1,0.19715037500000002,0.013001364583333333,0.2995902777777778,0.0,5,0.18494842499999997,0.209352325
200,satisficer,k_search,,3,0.19715037500000002,0.013299555555555556,0.8975902777777778,0.0,5,0.18494842499999997,0.209352325
200,satisficer,k_search,,5,0.19715037500000002,0.013077923611111111,1.4939722222222223,0.0,5,0.18494842499999997,0.209352325
500,satisficer,k_search,,1,0.21590618819444446,0.027620693055555555,0.3009805555555556,0.0,5,0.2070117277777778,0.22480064861111115
500,satisficer,k_search,,3,0.21590618819444446,0.02756025555555556,0.901425,0.0,5,0.2070117277777778,0.22480064861111115
500,satisficer,k_search,,5,0.21590618819444446,0.027544591666666667,1.5005972222222221,0.0,5,0.2070117277777778,0.22480064861111115
