N,agent,mode,tau,K,w_hat_mean,wall_ms_mean,offers_seen_mean,solver_calls_mean,seeds,w_hat_lo,w_hat_hi,label
50,satisficer,k_greedy,,3,0.48872660833333337,0.0028255833333333336,0.8694444444444445,0.0,5,0.4537303111111111,0.5262389380902777,cda
50,satisficer,k_greedy,,5,0.5568948548611111,0.002901736111111111,1.1845277777777778,0.0,5,0.5086108095312499,0.5877447027777777,cda
100,satisficer,k_greedy,,3,0.4979166666666667,0.0044342013888888894,0.9023749999999999,0.0,5,0.47777777777777786,0.5159722222222223,call
100,satisficer,k_greedy,,5,0.5784722222222223,0.004693951388888889,1.2437638888888887,0.0,5,0.5326215277777778,0.6076388888888888,call
200,satisficer,k_greedy,,3,0.5263888888888888,0.008309163194444445,0.9064097222222223,0.0,5,0.5041666666666667,0.5527777777777777,call
200,satisficer,k_greedy,,5,0.6201388888888889,0.00878435763888889,1.3315243055555557,0.0,5,0.5944444444444444,0.6416666666666667,call
200,satisficer,k_greedy,,3,0.5284722222222222,0.008376996527777777,0.8992083333333334,0.0,5,0.5013888888888889,0.5611111111111111,call_cap
200,satisficer,k_greedy,,5,0.6319444444444444,0.009122586805555557,1.4559131944444446,0.0,5,0.6027777777777777,0.6604166666666667,call_cap
500,satisficer,k_greedy,,5,0.6324209840277778,0.021512244444444446,1.3202125,0.0,5,0.6209941555555556,0.6421051993055554,cda
500,satisficer,k_greedy,,3,0.5395833333333333,0.01975960972222222,0.9172208333333334,0.0,5,0.523611111111111,0.5569444444444445,call
500,satisficer,k_greedy,,5,0.64375,0.0215608625,1.3773819444444446,0.0,5,0.6319444444444444,0.6527777777777778,call
500,satisficer,k_greedy,,5,0.6951388888888889,0.03396877916666667,1.7008208333333332,0.0,5,0.6875,0.7006944444444444,call_cap
