label,agent,mode,N,w_hat_mean,wall_ms_mean,seeds
cda,satisficer,k_greedy,50,0.47112955046296295,0.0030606574074074073,15
call,satisficer,k_greedy,100,0.4837962962962963,0.005337282407407408,15
call_cap,satisficer,k_greedy,100,0.4837962962962963,0.0053706435185185185,15
cda,satisficer,k_greedy,100,0.47642872430555555,0.005539381944444445,15
call,satisficer,k_greedy,200,0.512037037037037,0.010335085648148149,15
call_cap,satisficer,k_greedy,200,0.5166666666666667,0.010421309027777778,15
cda,satisficer,k_greedy,200,0.5054582310185185,0.01055537962962963,15
call,satisficer,k_greedy,500,0.5277777777777778,0.02450217962962963,15
call_cap,satisficer,k_greedy,500,0.5689814814814814,0.031227194444444443,15
cda,satisficer,k_greedy,500,0.5201409761574074,0.023117992592592593,15
