N,agent,mode,tau,K,w_hat_mean,wall_ms_mean,offers_seen_mean,solver_calls_mean,seeds,w_hat_lo,w_hat_hi,label
50,satisficer,band,1,,0.3675060013888889,0.07314727777777778,803.259375,0.0,5,0.3496582465277778,0.38140861944444443,band
50,satisficer,band,5,,0.3686860736111111,0.06468830555555556,709.559125,0.0,5,0.35109182595486116,0.3818690826388889,band
50,satisficer,band,10,,0.3668147048611111,0.04689759722222222,505.62911111111106,0.0,5,0.3497807541145833,0.37962804385416665,band
50,satisficer,band,20,,0.35517814722222224,0.018926736111111113,182.3010277777778,0.0,5,0.33889593729166667,0.3676093902777778,band
100,satisficer,band,1,,0.37051626249999997,0.1500418888888889,1655.9169652777778,0.0,5,0.3561518956597222,0.3828422444444444,band
100,satisficer,band,5,,0.3710490375,0.12953516666666667,1418.5975902777777,0.0,5,0.3562492249826389,0.38378841736111113,band
100,satisficer,band,10,,0.3693398381944445,0.0927291736111111,996.6216458333332,0.0,5,0.35504169328124996,0.38184075,band
100,satisficer,band,20,,0.3577962729166667,0.03679903472222222,348.9665069444444,0.0,5,0.34460961868055556,0.3694002159722222,band
200,satisficer,band,1,,0.3850766409722222,0.2985948263888889,3285.015354166667,0.0,5,0.37533842222222213,0.39300805022569446,band
200,satisficer,band,5,,0.38466368472222223,0.2521253784722222,2748.1054444444444,0.0,5,0.3755650930555556,0.3925082868055555,band
200,satisficer,band,10,,0.3829123423611111,0.17889182638888887,1914.389434027778,0.0,5,0.37442646875,0.3901330479166667,band
200,satisficer,band,20,,0.37213135555555554,0.07021273611111112,673.3147465277777,0.0,5,0.3636872173611111,0.3784271881944445,band
500,satisficer,band,1,,0.3960117951388889,0.9156578180555556,8328.236347222222,0.0,5,0.38426168055555554,0.40430734791666667,band
500,satisficer,band,5,,0.3957079215277778,0.7689575138888889,6929.294404166666,0.0,5,0.3841091284722222,0.40391482986111116,band
500,satisficer,band,10,,0.3940783666666666,0.5397091569444445,4829.686819444444,0.0,5,0.3820625888888889,0.4024763520833333,band
500,satisficer,band,20,,0.38480988194444443,0.2034876777777778,1700.4652958333331,0.0,5,0.37308862986111113,0.3933306368055556,band
50,satisficer,k_search,,1,0.14975945555555556,0.003372541666666667,0.29531944444444447,0.0,5,0.1385055034722222,0.1604814125,k_search
50,satisficer,k_search,,3,0.14975945555555556,0.0035930833333333327,0.8836527777777778,0.0,5,0.1385055034722222,0.1604814125,k_search
50,satisficer,k_search,,5,0.14975945555555556,0.0037053472222222223,1.4667916666666667,0.0,5,0.1385055034722222,0.1604814125,k_search
100,satisficer,k_search,,1,0.17018742916666668,0.006567881944444446,0.2944097222222222,0.0,5,0.15962490555555556,0.18121045069444444,k_search
100,satisficer,k_search,,3,0.17018742916666668,0.006567763888888889,0.8812291666666667,0.0,5,0.15962490555555556,0.18121045069444444,k_search
100,satisficer,k_search,,5,0.17018742916666668,0.0065162499999999995,1.4655208333333334,0.0,5,0.15962490555555556,0.18121045069444444,k_search
200,satisficer,k_search,,1,0.19715037500000002,0.013001364583333333,0.2995902777777778,0.0,5,0.18494842499999997,0.209352325,k_search
200,satisficer,k_search,,3,0.19715037500000002,0.013299555555555556,0.8975902777777778,0.0,5,0.18494842499999997,0.209352325,k_search
200,satisficer,k_search,,5,0.19715037500000002,0.013077923611111111,1.4939722222222223,0.0,5,0.18494842499999997,0.209352325,k_search
500,satisficer,k_search,,1,0.21590618819444446,0.027620693055555555,0.3009805555555556,0.0,5,0.2070117277777778,0.22480064861111115,k_search
500,satisficer,k_search,,3,0.21590618819444446,0.02756025555555556,0.901425,0.0,5,0.2070117277777778,0.22480064861111115,k_search
500,satisficer,k_search,,5,0.21590618819444446,0.027544591666666667,1.5005972222222221,0.0,5,0.2070117277777778,0.22480064861111115,k_search
50,satisficer,k_greedy,,1,0.3677671881944444,0.0034546527777777774,0.29531944444444447,0.0,5,0.3497658124305555,0.3813700305555556,k_greedy
50,satisficer,k_greedy,,3,0.48872660833333337,0.0028255833333333336,0.8694444444444445,0.0,5,0.4537303111111111,0.5262389380902777,k_greedy
50,satisficer,k_greedy,,5,0.5568948548611111,0.002901736111111111,1.1845277777777778,0.0,5,0.5086108095312499,0.5877447027777777,k_greedy
100,satisficer,k_greedy,,1,0.3703195097222222,0.006464972222222222,0.2944097222222222,0.0,5,0.35584702951388886,0.3827462305555555,k_greedy
100,satisficer,k_greedy,,3,0.4916060333333333,0.004965041666666666,0.8457013888888889,0.0,5,0.46177629428819444,0.5194648097222221,k_greedy
100,satisficer,k_greedy,,5,0.567360629861111,0.005188131944444444,1.2108124999999998,0.0,5,0.5189631527083333,0.5995837673611112,k_greedy
200,satisficer,k_greedy,,1,0.3845434743055555,0.012594017361111109,0.2995902777777778,0.0,5,0.37533260625000003,0.39238579791666667,k_greedy
200,satisficer,k_greedy,,3,0.5200991486111111,0.009395940972222221,0.8619652777777779,0.0,5,0.4984684304687499,0.5417149145833333,k_greedy
200,satisficer,k_greedy,,5,0.611732070138889,0.009676180555555556,1.2938506944444446,0.0,5,0.5839043659722222,0.6343230722222223,k_greedy
500,satisficer,k_greedy,,1,0.39507923680555557,0.027454579166666666,0.3009805555555556,0.0,5,0.38394401319444443,0.40329696322916664,k_greedy
500,satisficer,k_greedy,,3,0.5329227076388888,0.020387154166666668,0.8643652777777777,0.0,5,0.5203074953124999,0.5455181104166666,k_greedy
500,satisficer,k_greedy,,5,0.6324209840277778,0.021512244444444446,1.3202125,0.0,5,0.6209941555555556,0.6421051993055554,k_greedy
50,optimizer,,,,0.5503508395833334,0.09378033333333333,0.0,826.5853611111112,5,0.5225554188541668,0.5682449173611112,opt_greedy
100,optimizer,,,,0.5772382166666665,0.18822167361111114,0.0,1605.094263888889,5,0.5439520149999999,0.6077534909722221,opt_greedy
200,optimizer,,,,0.6070914895833333,0.39379039583333336,0.0,3252.09684375,5,0.5929026930555555,0.6212291652777778,opt_greedy
500,optimizer,,,,0.6158415722222222,1.181425515277778,0.0,8234.512483333334,5,0.6081194951388889,0.6249961534722221,opt_greedy
