N,agent,mode,tau,K,seed,w_hat,W,wall_ms,offers_seen,solver_calls,label
50,satisficer,band,1,,1000,0.3349024375,2.153595704861111,0.08061083333333334,836.9097222222221,0.0,band
50,satisficer,band,1,,1001,0.3825781909722222,2.7684941979166666,0.07086270833333333,789.072986111111,0.0,band
50,satisficer,band,1,,1002,0.3828498576388889,2.5719821180555558,0.07734013888888888,855.9601388888889,0.0,band
50,satisficer,band,1,,1003,0.36074085416666674,2.6536907430555554,0.06919812500000001,775.0629166666668,0.0,band
50,satisficer,band,1,,1004,0.37645866666666666,2.47487071875,0.06772458333333334,759.2911111111111,0.0,band
50,satisficer,band,5,,1000,0.3361649756944444,1.6188351631944444,0.06387652777777778,701.6860416666667,0.0,band
50,satisficer,band,5,,1001,0.38180044444444444,1.9535089375,0.06320145833333334,702.0750694444446,0.0,band
50,satisficer,band,5,,1002,0.38415386458333334,1.902996638888889,0.07078333333333334,755.6297222222221,0.0,band
50,satisficer,band,5,,1003,0.3628691736111111,1.8877400763888887,0.06321027777777777,701.9167361111113,0.0,band
50,satisficer,band,5,,1004,0.37844190972222225,1.7184189097222222,0.06236993055555556,686.4880555555557,0.0,band
50,satisficer,band,10,,1000,0.3348086041666667,1.1234247222222222,0.04457513888888889,478.9951388888889,0.0,band
50,satisficer,band,10,,1001,0.37866239583333333,1.3804160243055559,0.04643715277777778,504.28243055555555,0.0,band
50,satisficer,band,10,,1002,0.3834376840277777,1.2874329791666665,0.05160256944444444,554.9600694444443,0.0,band
50,satisficer,band,10,,1003,0.36115965625,1.2775282881944443,0.04747430555555555,516.0842361111111,0.0,band
50,satisficer,band,10,,1004,0.3760051840277778,1.1485073784722222,0.04439881944444443,473.82368055555554,0.0,band
50,satisficer,band,20,,1000,0.32482443055555554,0.4379707326388889,0.016527916666666666,154.22152777777777,0.0,band
50,satisficer,band,20,,1001,0.36877778125,0.65085971875,0.019669444444444444,192.0893055555555,0.0,band
