mode,N,param,value,w_hat_mean,wall_ms_mean,accept_rate,d_w_hat,d_wall_ms,d_accept
band,50,tau,1,0.3675060013888889,0.07314727777777778,0.25958333333333333,,,
band,50,tau,5,0.3686860736111111,0.06468830555555556,0.2734444444444445,0.001180072222222217,-0.008458972222222222,0.013861111111111157
band,50,tau,10,0.3668147048611111,0.04689759722222222,0.2763888888888889,-0.001871368749999991,-0.017790708333333342,0.0029444444444444162
band,50,tau,20,0.35517814722222224,0.018926736111111113,0.276875,-0.011636557638888878,-0.027970861111111106,0.0004861111111110761
band,100,tau,1,0.37051626249999997,0.1500418888888889,0.2632361111111111,,,
band,100,tau,5,0.3710490375,0.12953516666666667,0.2720625,0.0005327750000000409,-0.020506722222222218,0.00882638888888887
band,100,tau,10,0.3693398381944445,0.0927291736111111,0.27397222222222223,-0.00170919930555552,-0.03680599305555557,0.0019097222222222432
band,100,tau,20,0.3577962729166667,0.03679903472222222,0.274375,-0.011543565277777779,-0.05593013888888888,0.0004027777777777519
band,200,tau,1,0.3850766409722222,0.2985948263888889,0.26718055555555553,,,
band,200,tau,5,0.38466368472222223,0.2521253784722222,0.2734548611111111,-0.00041295624999998504,-0.046469447916666684,0.0062743055555555816
band,200,tau,10,0.3829123423611111,0.17889182638888887,0.27517013888888886,-0.00175134236111113,-0.07323355208333335,0.0017152777777777461
band,200,tau,20,0.37213135555555554,0.07021273611111112,0.27503124999999995,-0.010780986805555559,-0.10867909027777775,-0.0001388888888889106
band,500,tau,1,0.3960117951388889,0.9156578180555556,0.2708833333333333,,,
band,500,tau,5,0.3957079215277778,0.7689575138888889,0.27532083333333335,-0.0003038736111111162,-0.14670030416666668,0.004437500000000039
band,500,tau,10,0.3940783666666666,0.5397091569444445,0.27625555555555553,-0.0016295548611111599,-0.22924835694444434,0.000934722222222184
band,500,tau,20,0.38480988194444443,0.2034876777777778,0.2761152777777778,-0.009268484722222192,-0.3362214791666668,-0.00014027777777775308
k_search,50,K,1,0.14975945555555556,0.003372541666666667,0.27484722222222224,,,
k_search,50,K,3,0.14975945555555556,0.0035930833333333327,0.27484722222222224,0.0,0.00022054166666666576,0.0
k_search,50,K,5,0.14975945555555556,0.0037053472222222223,0.27484722222222224,0.0,0.00011226388888888961,0.0
k_search,100,K,1,0.17018742916666668,0.006567881944444446,0.2733125,,,
k_search,100,K,3,0.17018742916666668,0.006567763888888889,0.2733125,0.0,-1.1805555555702285e-07,0.0
k_search,100,K,5,0.17018742916666668,0.0065162499999999995,0.2733125,0.0,-5.151388888888914e-05,0.0
k_search,200,K,1,0.19715037500000002,0.013001364583333333,0.2734270833333333,,,
k_search,200,K,3,0.19715037500000002,0.013299555555555556,0.2734270833333333,0.0,0.00029819097222222313,0.0
k_search,200,K,5,0.19715037500000002,0.013077923611111111,0.2734270833333333,0.0,-0.00022163194444444444,0.0
k_search,500,K,1,0.21590618819444446,0.027620693055555555,0.2745861111111111,,,
k_search,500,K,3,0.21590618819444446,0.02756025555555556,0.2745861111111111,0.0,-6.043749999999626e-05,0.0
k_search,500,K,5,0.21590618819444446,0.027544591666666667,0.2745861111111111,0.0,-1.566388888889214e-05,0.0
k_greedy,50,K,1,0.3677671881944444,0.0034546527777777774,0.27484722222222224,,,
k_greedy,50,K,3,0.48872660833333337,0.0028255833333333336,0.3223055555555555,0.12095942013888894,-0.0006290694444444438,0.04745833333333327
k_greedy,50,K,5,0.5568948548611111,0.002901736111111111,0.38341666666666663,0.06816824652777775,7.615277777777742e-05,0.061111111111111116
k_greedy,100,K,1,0.3703195097222222,0.006464972222222222,0.2733125,,,
k_greedy,100,K,3,0.4916060333333333,0.004965041666666666,0.3123055555555555,0.12128652361111109,-0.0014999305555555556,0.03899305555555549
k_greedy,100,K,5,0.567360629861111,0.005188131944444444,0.3665555555555556,0.07575459652777772,0.00022309027777777778,0.054250000000000076
k_greedy,200,K,1,0.3845434743055555,0.012594017361111109,0.2734270833333333,,,
k_greedy,200,K,3,0.5200991486111111,0.009395940972222221,0.31301388888888887,0.13555567430555554,-0.0031980763888888875,0.03958680555555555
k_greedy,200,K,5,0.611732070138889,0.009676180555555556,0.3738402777777778,0.09163292152777791,0.0002802395833333346,0.060826388888888916
k_greedy,500,K,1,0.39507923680555557,0.027454579166666666,0.2745861111111111,,,
k_greedy,500,K,3,0.5329227076388888,0.020387154166666668,0.31631944444444443,0.13784347083333326,-0.007067424999999999,0.041733333333333344
k_greedy,500,K,5,0.6324209840277778,0.021512244444444446,0.38145833333333334,0.09949827638888897,0.0011250902777777787,0.06513888888888891
