N,agent,mode,tau,K,seed,accept_rate,offers_seen_mean,wall_ms_mean,w_hat
50,satisficer,band,1,,1000,0.2602083333333333,836.9097222222221,0.08061083333333334,0.3349024375
50,satisficer,band,1,,1001,0.26208333333333333,789.072986111111,0.07086270833333333,0.3825781909722222
50,satisficer,band,1,,1002,0.2667361111111111,855.9601388888889,0.07734013888888888,0.3828498576388889
50,satisficer,band,1,,1003,0.2529166666666667,775.0629166666668,0.06919812500000001,0.36074085416666674
50,satisficer,band,1,,1004,0.2559722222222222,759.2911111111111,0.06772458333333334,0.37645866666666666
50,satisficer,band,5,,1000,0.26819444444444446,701.6860416666667,0.06387652777777778,0.3361649756944444
50,satisficer,band,5,,1001,0.2791666666666667,702.0750694444446,0.06320145833333334,0.38180044444444444
50,satisficer,band,5,,1002,0.2768055555555556,755.6297222222221,0.07078333333333334,0.38415386458333334
50,satisficer,band,5,,1003,0.26881944444444444,701.9167361111113,0.06321027777777777,0.3628691736111111
50,satisficer,band,5,,1004,0.2742361111111111,686.4880555555557,0.06236993055555556,0.37844190972222225
50,satisficer,band,10,,1000,0.2685416666666667,478.9951388888889,0.04457513888888889,0.3348086041666667
50,satisficer,band,10,,1001,0.281875,504.28243055555555,0.04643715277777778,0.37866239583333333
50,satisficer,band,10,,1002,0.2811111111111111,554.9600694444443,0.05160256944444444,0.3834376840277777
50,satisficer,band,10,,1003,0.27381944444444445,516.0842361111111,0.04747430555555555,0.36115965625
50,satisficer,band,10,,1004,0.2765972222222222,473.82368055555554,0.04439881944444443,0.3760051840277778
50,satisficer,band,20,,1000,0.26784722222222224,154.22152777777777,0.016527916666666666,0.32482443055555554
50,satisficer,band,20,,1001,0.2824305555555556,192.0893055555555,0.019669444444444444,0.36877778125
50,satisficer,band,20,,1002,0.2820138888888889,198.64715277777782,0.020564930555555555,0.36944823958333334
50,satisficer,band,20,,1003,0.2758333333333333,213.90381944444448,0.021788680555555558,0.3505749166666667
50,satisficer,band,20,,1004,0.27625,152.64333333333332,0.016082708333333334,0.36226536805555554
100,satisficer,band,1,,1000,0.26288194444444446,1722.4177777777782,0.15880378472222223,0.3458194340277778
100,satisficer,band,1,,1001,0.2643402777777778,1641.0155555555557,0.14784805555555558,0.38320554166666665
100,satisficer,band,1,,1002,0.2640625,1668.5664583333335,0.15107260416666668,0.38767006944444443
100,satisficer,band,1,,1003,0.2564236111111111,1643.298333333333,0.14767909722222225,0.3602857604166667
100,satisficer,band,1,,1004,0.2684722222222222,1604.2867013888888,0.1448059027777778,0.3756005069444444
100,satisficer,band,5,,1000,0.26875,1446.4300000000003,0.13173500000000002,0.34562377083333334
100,satisficer,band,5,,1001,0.27239583333333334,1391.0382986111113,0.12661784722222225,0.38386601388888886
100,satisficer,band,5,,1002,0.27211805555555557,1439.000694444444,0.1325484027777778,0.3888309479166667
100,satisficer,band,5,,1003,0.2667013888888889,1425.502673611111,0.1298697222222222,0.36069983333333333
100,satisficer,band,5,,1004,0.28034722222222225,1391.0162847222225,0.1269048611111111,0.37622462152777775
100,satisficer,band,10,,1000,0.26902777777777775,993.0886805555555,0.09269833333333333,0.34433103125000003
100,satisficer,band,10,,1001,0.2738888888888889,971.3043749999998,0.0902211111111111,0.38264203472222225
100,satisficer,band,10,,1002,0.27565972222222224,1027.304097222222,0.09537822916666663,0.3873610173611111
100,satisficer,band,10,,1003,0.26961805555555557,1035.019722222222,0.09591965277777778,0.35975968055555557
100,satisficer,band,10,,1004,0.2816666666666667,956.3913541666667,0.08942854166666667,0.37260542708333333
100,satisficer,band,20,,1000,0.26916666666666667,314.87305555555554,0.033601840277777774,0.3351148125
100,satisficer,band,20,,1001,0.27399305555555553,343.2392361111111,0.038144166666666666,0.36966878124999997
100,satisficer,band,20,,1002,0.27684027777777775,362.9585763888889,0.03764215277777778,0.3746909236111111
100,satisficer,band,20,,1003,0.2711458333333333,402.6978819444445,0.041043506944444454,0.3482373854166667
100,satisficer,band,20,,1004,0.28072916666666664,321.06378472222224,0.03356350694444444,0.3612694618055555
200,satisficer,band,1,,1000,0.2642013888888889,3327.6765798611113,0.3013551388888889,0.38936724652777777
200,satisficer,band,1,,1001,0.2696875,3266.444114583334,0.29898854166666666,0.38318206944444444
200,satisficer,band,1,,1002,0.26421875,3216.77890625,0.2893353993055555,0.38742220138888883
200,satisficer,band,1,,1003,0.26513888888888887,3270.397118055555,0.30159765625,0.36728256944444443
200,satisficer,band,1,,1004,0.27265625,3343.780052083334,0.3016973958333333,0.39812911805555556
200,satisficer,band,5,,1000,0.27208333333333334,2776.4575694444443,0.2527665277777778,0.3884897951388889
200,satisficer,band,5,,1001,0.2740972222222222,2677.168993055556,0.24351081597222224,0.3816917048611111
200,satisficer,band,5,,1002,0.27206597222222223,2762.057864583334,0.2531630381944444,0.3888575833333333
